oem,model,modelYear,Registration Year,Mileage,Fuel Type,Transmission,ownerNo,price,Gear Box,city,km,Safety,Interior,Exterior,Insurance Validity,bt
8,54,2013,2013.0,18.5,3,1,1,440000.00000000006,5.0,0,36359.0,3.8297872340425534,5.882352941176471,3.4615384615384617,0,0
21,125,2019,2019.0,17.0,1,1,2,1460000.0,6.0,0,70000.0,7.23404255319149,6.470588235294118,4.230769230769231,2,4
8,50,2017,2017.0,17.0,3,0,1,1033000.0,6.0,0,30301.0,6.382978723404256,7.058823529411765,3.4615384615384617,0,3
8,53,2010,2010.0,20.36,3,1,1,275000.0,5.0,0,66000.0,2.127659574468085,4.11764705882353,1.153846153846154,0,0
8,54,2017,2017.0,18.6,3,1,1,676000.0,5.0,0,56010.0,4.255319148936171,5.294117647058824,3.4615384615384617,0,0
18,108,2014,2014.0,19.01,1,1,2,650000.0,6.0,0,60000.0,4.468085106382979,7.058823529411765,4.230769230769231,2,4
13,89,2014,2014.0,25.2,1,1,1,444000.00000000006,5.0,0,83829.0,4.255319148936171,5.294117647058824,3.076923076923077,2,0
19,112,2020,2020.0,22.0,3,0,1,510000.0,5.0,0,10000.0,4.468085106382979,3.5294117647058827,2.6923076923076925,2,0
19,110,2016,2016.0,19.6,1,0,2,925000.0,6.0,0,35000.0,5.319148936170214,7.058823529411765,3.8461538461538463,0,4
7,30,2019,2020.0,18.0,3,0,2,1024000.0,5.0,0,51116.0,5.74468085106383,5.882352941176471,3.8461538461538463,0,3
20,119,2016,2016.0,21.14,1,1,3,500000.0,5.0,0,80000.0,4.042553191489362,7.058823529411765,3.076923076923077,2,3
23,150,2017,2017.0,17.21,3,0,2,995000.0,7.0,0,40000.0,4.042553191489362,5.882352941176471,5.0,2,0
7,29,2012,2012.0,11.1,3,0,2,935000.0,5.0,0,85565.0,3.617021276595745,5.294117647058824,3.4615384615384617,0,4
6,22,2018,2018.0,17.0,3,1,1,834000.0,5.0,0,36916.0,7.021276595744681,6.470588235294118,4.615384615384615,0,4
23,150,2015,2015.0,20.14,1,1,1,560000.0,5.0,0,90000.0,4.042553191489362,5.882352941176471,3.4615384615384617,2,0
13,89,2012,2012.0,22.38,3,1,1,454000.0,5.0,0,112795.0,5.319148936170214,3.5294117647058827,2.307692307692308,0,0
7,28,2016,2016.0,19.4,3,1,2,462000.0,5.0,0,36685.0,3.191489361702128,5.294117647058824,1.9230769230769236,0,0
13,74,2019,2019.0,21.4,3,0,2,843000.0,5.0,0,32184.0,5.74468085106383,6.470588235294118,4.615384615384615,2,0
13,75,2018,2019.0,21.1,3,1,1,799000.0,5.0,0,32279.0,5.1063829787234045,6.470588235294118,5.0,0,0
8,54,2015,2015.0,18.6,3,1,1,576000.0,5.0,0,59698.0,4.893617021276596,5.882352941176471,4.230769230769231,0,0
19,109,2018,2018.0,20.37,1,1,1,949000.0,6.0,0,46071.0,6.170212765957447,7.058823529411765,5.0,0,4
13,92,2017,2017.0,24.3,1,1,1,795000.0,5.0,0,90000.0,5.1063829787234045,5.882352941176471,4.230769230769231,2,4
8,49,2019,2019.0,18.27,3,1,1,1085000.0,6.0,0,9554.0,5.531914893617022,5.882352941176471,4.230769230769231,2,4
9,57,2022,2022.0,14.1,3,0,1,2590000.0,7.0,0,14000.0,7.659574468085107,6.470588235294118,8.461538461538462,0,4
